Q,A,label,
12시 땡!,하루가 또 가네요.,0,
1지망 학교 떨어졌어,위로해 드립니다.,0,
3박4일 정도 놀러가고 싶다,여행은 언제나 좋죠.,0,
PPL 심하네,눈살이 찌푸려지죠.,0,
SD카드 안돼,다시 새로 사는 게 마음 편해요.,0,
SNS 맞팔 왜 안하지ㅠㅠ,잘 모르고 있을 수도 있어요.,0,
가끔 뭐하는지 궁금해,그 사람도 그럴 거예요.,0,
가난한 자의 설움,돈은 다시 들어올 거예요.,0,
가만 있어도 땀난다,땀을 식혀주세요.,0,
가상화폐 쫄딱 망함,어서 잊고 새출발 하세요.,0,
가스비 장난 아님,다음 달에는 더 절약해봐요.,0,
가장 확실한 건 뭘까?,가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.,0,
가족 여행 가기로 했어,온 가족이 모두 마음에 드는 곳으로 가보세요.,0,
가족 여행 고고,온 가족이 모두 마음에 드는 곳으로 가보세요.,0,
가족관계 알려 줘,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",0,
가족끼리 여행간다.,더 가까워질 기회가 되겠네요.,0,
가족들 보고 싶어,저도요.,0,
가족들이랑 서먹해,다들 바빠서 이야기할 시간이 부족했나봐요.,0,
가족들이랑 서먹해졌어,다들 바빠서 이야기할 시간이 부족했나봐요.,0,
가족들이랑 어디 가지?,온 가족이 모두 마음에 드는 곳으로 가보세요.,0,
가족이 누구야?,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",0,
가족한테 스트레스 풀었어,정말 후회할 습관이에요.,0,
가출해도 갈 데가 없어,선생님이나 기관에 연락해보세요.,0,
간만에 쇼핑 중,득템했길 바라요.,0,
간만에 휴식 중,휴식도 필요하죠.,0,
간식 추천,단짠으로 두 개 사는게 진리죠.,0,
간장치킨 시켜야지,맛있게 드세요.,0,
간접흡연 싫어,저도 싫어요.,0,
갈까 말까?,가세요.,0,
감 말랭이 먹어야지,맛있게 드세요.,0,
감기 같애,병원가세요.,0,
감기 걸린 것 같아,이럴 때 잘 쉬는 게 중요해요.,0,
감기 기운이 있어,이럴 때 잘 쉬는 게 중요해요.,0,
감기 들 거 같애,이럴 때 잘 쉬는 게 중요해요.,0,
감기가 오려나,따뜻하게 관리하세요.,0,
감기약이 없어,병원가세요.,0,
감정이 쓰레기통처럼 엉망진창이야,자신을 더 사랑해주세요.,0,
감정컨트롤이 안돼,그건 습관이에요.,0,
감히 나를 무시하는 애가 있어,콕 집어서 물어보세요.,0,
갑자기 나쁜 생각이 막 들더라,좋은 생각만 하세요.,0,
갑자기 물어봐서 당황했어,갑작스러웠나봐요.,0,
갑자기 불편한 사이가 된 거 같아,관계의 변화가 왔나봅니다.,0,
